,PLAYER,TEAM,AGE,SEASON,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,rankings
30,Killian Hayes,DET,19,2021,7,1,6,21.1,4.6,1.9,6.7,27.7,0.7,2.9,25,0.1,0.3,50,0.1,1,1.1,3.6,2.4,0.3,0,2.1,9.7,0,0,-5.4,73
56,Tyler Bey,DAL,23,2021,4,1,3,3.1,1.5,0.5,1.3,40,0,0,0,0.5,1,50,0.5,0.3,0.8,0,0,0,0.3,0.5,3.2,0,0,-4.5,70
10,Saddiq Bey,Det,21,2021,28,7,21,21.1,9.5,3,7.3,41.2,2,5,40.7,1.4,1.7,83.3,0.4,34,3.8,1,0.8,0.5,0,1.5,16.4,2,0,-2.1,78
24,Isaiah Stewart,DET,19,2021,28,8,20,17.9,5.1,2.2,4.3,51.3,0,0.2,20,0.8,1.1,70,2.6,2.9,5.5,0.7,0.8,0.5,1,2.6,16.2,2,0,0.5,
39,Saben Lee,DET,21,2021,9,3,6,11.3,3.3,1,2.3,42.9,0,0.2,0,1.3,1.9,70.6,0.1,0.7,0.8,1.4,0.7,0.8,0.1,1.4,8.4,0,0,0.4,
9,JAE'SHAWN TATE,HOU,25,2021,29,11,18,27.4,9.9,4,7.4,54.4,0.7,2.1,33.9,1.1,1.6,71.7,1.8,3.4,5.2,1.8,1.2,1,0.6,2.9,22.3,1,0,-0.6,
27,OBI TOPPIN,NYK,22,2021,21,10,11,11.9,4.8,2,4.1,47.7,0.5,1.8,28.9,0.3,0.5,70,0.3,2.1,2.4,0.5,0.5,0.2,0.4,0.9,9.8,0,0,-1.3,
33,DEVON DOTSON,CHI,21,2021,1,0,1,9.5,4,2,4,50,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5.2,0,0,-2,
71,NAJI MARSHALL,NOP,23,2021,3,0,3,2.8,0.3,0,0.7,0,0,0.3,0,0.3,0.7,50,0,0.7,0.7,0.3,0,0,0,0,1.6,0,0,5,
6,COLE ANTHONY,ORL,20,2021,25,9,16,26.7,11,4,10.8,37.5,1.1,3.3,32.5,1.8,2.2,83.6,0.8,3.6,4.4,3.8,2,0.7,0.4,2,23.3,0,0,-4,
